STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,SEX,Sex,AGE,Age class,LMS,Legal marital status,HST,Household status,FST,Familly status,HAR,Housing arrangements,LOC_SIZE,Size of the locality,WSTATUS,Working status,EDU,Educational level,SIE,Employment status,LPW,Place of work,C_BIRTH,Country of birth,CITIZEN,Citizenship,YAE,Year of arrival in the country since 1980,YAT,Year of arrival in the country since 2010,ROY,Place of usual residence one year prior to the census,GEO,Geographic level,ACTIVITY,Economic activity (NACE Rev.2),ISCO08,Occupation (ISCO-08),TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,OTH,Other,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001201,Bous,_Z,Not applicable,_Z,Not applicable,2021,,0,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FOR,Foreign,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000307,Schuttrange,_Z,Not applicable,_Z,Not applicable,2021,,2076,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FOR,Foreign,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001202,Dalheim,_Z,Not applicable,_Z,Not applicable,2021,,820,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NEU,Foreign (non EU-27),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000303,Hesperange,_Z,Not applicable,_Z,Not applicable,2021,,1296,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NAT,Luxembourg,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000802,Esch-sur-Sûre,_Z,Not applicable,_Z,Not applicable,2021,,952,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NEU,Foreign (non EU-27),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001205,Remich,_Z,Not applicable,_Z,Not applicable,2021,,309,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,OTH,Other,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000208,Mondercange,_Z,Not applicable,_Z,Not applicable,2021,,1,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU00012,Canton Remich,_Z,Not applicable,_Z,Not applicable,2021,,23684,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NEU,Foreign (non EU-27),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000209,Pétange,_Z,Not applicable,_Z,Not applicable,2021,,2925,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000307,Schuttrange,_Z,Not applicable,_Z,Not applicable,2021,,3,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FOR,Foreign,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000107,Kopstal,_Z,Not applicable,_Z,Not applicable,2021,,2263,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000404,Fischbach,_Z,Not applicable,_Z,Not applicable,2021,,3,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000409,Mersch,_Z,Not applicable,_Z,Not applicable,2021,,5122,,0,Units,0,Zero
